Subject 1: 0.7460, 0.8551, 0.8973, 0.7198, 0.8861
Subject 2: 0.7545, 0.9585, 0.9276, 0.9601, 0.8728
Subject 3: 0.6879, 0.8126, 0.7605, 0.8436, 0.7140
Subject 4: 0.6891, 0.7045, 0.7976, 0.8261, 0.7996
Subject 5: 0.6571, 0.6748, 0.6683, 0.7004, 0.7182
Subject 6: 0.7680, 0.8278, 0.8764, 0.8487, 0.7901
Subject 7: 0.8834, 0.9290, 0.9191, 0.9113, 0.9078
Subject 8: 0.7511, 0.8053, 0.8557, 0.7546, 0.8035
Subject 9: 0.6071, 0.6354, 0.6630, 0.6170, 0.6215
Subject 10: 0.7304, 0.8367, 0.8123, 0.7110, 0.7350
Subject 11: 0.9090, 0.9529, 0.9586, 0.9813, 0.9490
Subject 12: 0.5382, 0.6951, 0.7844, 0.6892, 0.7891
Subject 13: 0.8533, 0.7894, 0.7234, 0.6620, 0.7230
Subject 14: 0.8589, 0.9808, 0.9678, 0.9350, 0.9188
Subject 15: 0.8277, 0.9033, 0.9175, 0.9165, 0.9167
Subject 16: 0.7767, 0.8493, 0.9173, 0.9015, 0.8038
Subject 17: 0.7777, 0.9218, 0.9870, 0.9386, 0.9525
Subject 18: 0.6794, 0.8010, 0.8183, 0.7419, 0.7538
Subject 19: 0.8067, 0.6435, 0.7228, 0.7315, 0.9165
Subject 20: 0.7974, 0.8090, 0.8375, 0.8428, 0.8719
