Subject 1: 0.9370, 0.8792, 0.9347, 0.9264, 0.9087
Subject 2: 0.9502, 0.9693, 0.9517, 0.9780, 0.8758
Subject 3: 0.8149, 0.8044, 0.8640, 0.8048, 0.7933
Subject 4: 0.8855, 0.8738, 0.8307, 0.9263, 0.8596
Subject 5: 0.8376, 0.6768, 0.8769, 0.7879, 0.8186
Subject 6: 0.8393, 0.7816, 0.8001, 0.8169, 0.8704
Subject 7: 0.9664, 0.9400, 0.9180, 0.9733, 0.8984
Subject 8: 0.7722, 0.7377, 0.8841, 0.8646, 0.8337
Subject 9: 0.8576, 0.8047, 0.8753, 0.7984, 0.7920
Subject 10: 0.8620, 0.6918, 0.7978, 0.8146, 0.7765
Subject 11: 0.9124, 0.9643, 0.9806, 0.9722, 0.9849
Subject 12: 0.8357, 0.8277, 0.8628, 0.8549, 0.8545
Subject 13: 0.8630, 0.6910, 0.9290, 0.8760, 0.7320
Subject 14: 0.9315, 0.9747, 0.9877, 0.9846, 0.8292
Subject 15: 0.9284, 0.8965, 0.9817, 0.9095, 0.8919
Subject 16: 0.8181, 0.8874, 0.9489, 0.9168, 0.8811
Subject 17: 0.8313, 0.9249, 0.9870, 0.9302, 0.9897
Subject 18: 0.8759, 0.8065, 0.9209, 0.9189, 0.8474
Subject 19: 0.9197, 0.6495, 0.9179, 0.8242, 0.7523
Subject 20: 0.9357, 0.8646, 0.9696, 0.8699, 0.8247
