Subject 1: 0.8206, 0.8132, 0.8681, 0.8596, 0.7789
Subject 2: 0.7935, 0.8926, 0.7849, 0.8819, 0.8525
Subject 3: 0.6617, 0.7576, 0.7392, 0.6620, 0.6894
Subject 4: 0.7415, 0.7827, 0.7599, 0.7474, 0.6924
Subject 5: 0.6027, 0.5948, 0.6730, 0.5894, 0.6583
Subject 6: 0.8380, 0.8007, 0.8138, 0.8241, 0.8242
Subject 7: 0.8630, 0.8090, 0.9101, 0.8453, 0.8345
Subject 8: 0.6650, 0.7873, 0.7218, 0.6838, 0.7938
Subject 9: 0.5855, 0.6669, 0.7447, 0.6160, 0.6820
Subject 10: 0.8130, 0.7906, 0.7290, 0.7876, 0.7044
Subject 11: 0.9207, 0.9510, 0.9501, 0.9038, 0.9441
Subject 12: 0.5988, 0.6445, 0.6120, 0.6613, 0.5739
Subject 13: 0.6900, 0.6309, 0.6729, 0.7083, 0.6577
Subject 14: 0.9143, 0.9732, 0.9815, 0.8884, 0.9793
Subject 15: 0.8210, 0.8540, 0.8740, 0.6724, 0.8267
Subject 16: 0.7757, 0.8977, 0.8686, 0.8437, 0.8395
Subject 17: 0.7934, 0.9089, 0.9202, 0.8633, 0.8825
Subject 18: 0.7754, 0.7640, 0.6728, 0.7675, 0.7701
Subject 19: 0.7884, 0.7203, 0.8548, 0.6955, 0.8321
Subject 20: 0.7554, 0.7964, 0.8255, 0.6671, 0.7449
