Subject 1: 0.5402, 0.5145, 0.5094, 0.5242, 0.5154
Subject 2: 0.5148, 0.5007, 0.6222, 0.4973, 0.5358
Subject 3: 0.5370, 0.5432, 0.5223, 0.5567, 0.5319
Subject 4: 0.5796, 0.4906, 0.5317, 0.5302, 0.5043
Subject 5: 0.4941, 0.5295, 0.5169, 0.5602, 0.5437
Subject 6: 0.5292, 0.5033, 0.5108, 0.5300, 0.5199
Subject 7: 0.6527, 0.5554, 0.5190, 0.5421, 0.4999
Subject 8: 0.5540, 0.5482, 0.5706, 0.5133, 0.5567
Subject 9: 0.5754, 0.5355, 0.5036, 0.5467, 0.5555
Subject 10: 0.5446, 0.5509, 0.5784, 0.5057, 0.4912
Subject 11: 0.8971, 0.9285, 0.7691, 0.7730, 0.7300
Subject 12: 0.5276, 0.5507, 0.5600, 0.5020, 0.5022
Subject 13: 0.5550, 0.4827, 0.4676, 0.5549, 0.5082
Subject 14: 0.6001, 0.6210, 0.5861, 0.6278, 0.6742
Subject 15: 0.5868, 0.5032, 0.5083, 0.5178, 0.5056
Subject 16: 0.5909, 0.5869, 0.5467, 0.6470, 0.5805
Subject 17: 0.6027, 0.7648, 0.7771, 0.6365, 0.6583
Subject 18: 0.6208, 0.6476, 0.6891, 0.5034, 0.5000
Subject 19: 0.5285, 0.5025, 0.4042, 0.5235, 0.5071
Subject 20: 0.6857, 0.6626, 0.5887, 0.5426, 0.5103
