Subject 1: 0.7209, 0.5412, 0.7716, 0.5448, 0.7037
Subject 2: 0.8805, 0.4810, 0.6273, 0.5928, 0.6239
Subject 3: 0.5892, 0.5090, 0.6153, 0.5451, 0.5980
Subject 4: 0.6481, 0.5170, 0.6271, 0.4537, 0.6010
Subject 5: 0.5243, 0.5257, 0.6283, 0.5517, 0.5760
Subject 6: 0.8011, 0.5130, 0.8187, 0.5166, 0.7505
Subject 7: 0.7995, 0.4967, 0.7518, 0.5261, 0.6426
Subject 8: 0.6415, 0.5226, 0.6869, 0.5431, 0.6404
Subject 9: 0.5530, 0.4672, 0.5969, 0.5341, 0.5375
Subject 10: 0.6086, 0.5005, 0.6509, 0.5326, 0.5832
Subject 11: 0.8451, 0.6959, 0.9184, 0.7119, 0.9027
Subject 12: 0.7220, 0.4972, 0.6772, 0.4478, 0.5660
Subject 13: 0.5680, 0.5255, 0.5956, 0.5291, 0.5931
Subject 14: 0.8558, 0.5354, 0.9391, 0.5587, 0.7743
Subject 15: 0.7882, 0.5220, 0.7963, 0.5672, 0.6914
Subject 16: 0.6414, 0.6527, 0.8271, 0.6638, 0.7592
Subject 17: 0.7270, 0.6290, 0.9149, 0.6462, 0.8328
Subject 18: 0.6918, 0.4907, 0.7596, 0.5001, 0.7301
Subject 19: 0.8081, 0.4917, 0.7858, 0.5450, 0.5735
Subject 20: 0.6085, 0.5112, 0.6720, 0.5167, 0.6141
